make,model,variant,capacity,max_range,exp_range,slow_charge_rate,fast_charge_rate
Tata,Nexon EV Prime,Lux,30.2,312.0,250.0,3.3,25.0
Tata,Nexon EV Max,Lux,40.5,453.0,300.0,7.2,30.0
